"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"outcome_type";"instrument";"rating";"construct";"time_weeks";"time";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"rand_ratio";"year";"sg";"ac";"ba";"itt";"rob";"full_ref";"format";"clinical_interview_diagnosis";"clinical_diagnosis_interview";"cbt";"guided";".id";".g";".g_se";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2"
"118";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq ec";"self-report";"eating concerns";8;"post";0,9;0,9;51;0,9;0,8;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqec_post_8_self-report_cbt_wl_NA_NA";0;0,197075143962967;NA;NA;NA;NA;NA;NA
"119";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq";"self-report";"ed psychopathology";8;"post";1,9;1,11;51;2;1;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeq_post_8_self-report_cbt_wl_NA_NA";0,0940019352405478;0,1971855805465;NA;NA;NA;NA;NA;NA
"120";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"gsi";"self-report";"psychiatric distress";8;"post";0,4;0,4;51;0,5;0,3;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_gsi_post_8_self-report_cbt_wl_NA_NA";0,281127135226254;0,198060701523721;NA;NA;NA;NA;NA;NA
"121";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq obe";"self-report";"obe frequency";8;"post";0,1;0,5;51;0,1;0,2;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqobe_post_8_self-report_cbt_wl_NA_NA";0;0,197075143962967;NA;NA;NA;NA;NA;NA
"122";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq sc";"self-report";"shape concern";8;"post";2,8;1,4;51;2,9;1,2;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqsc_post_8_self-report_cbt_wl_NA_NA";0,076183260035686;0,197147687749787;NA;NA;NA;NA;NA;NA
"123";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"wcs";"self-report";"weight concern";8;"post";50,8;14,8;51;52,1;15,7;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_wcs_post_8_self-report_cbt_wl_NA_NA";0,0845498268244803;0,197164492623928;NA;NA;NA;NA;NA;NA
"124";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edeq wc";"self-report";"weight concern";8;"post";2,1;1,3;51;2,3;1,1;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edeqwc_post_8_self-report_cbt_wl_NA_NA";0,164989797377875;0,197415161042787;NA;NA;NA;NA;NA;NA
"125";"Jacobi, 2012";"cbt";"wl";NA;NA;"abstinence";"zero ED behav";"self-report";"binge abstinence";24;"fu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;14;64;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_abstinence_zeroEDbehav_fu_24_self-report_cbt_wl_NA_NA";-0,358419904648867;0,22062141304353;0,464688187999311;0,288362272220331;23;14;64;62
"126";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"edi";"self-report";"body dissatisfaction";24;"fu";3,9;0,9;51;4,3;1,1;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_edi_fu_24_self-report_cbt_wl_NA_NA";0,39466528681321;0,199012855225806;NA;NA;NA;NA;NA;NA
"127";"Jacobi, 2012";"cbt";"wl";NA;NA;"msd";"bdi";"self-report";"depression";24;"fu";8;7;51;7,9;5,8;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"?";"?";"1";0;"high";"Jacobi, C., Völker, U., Trockel, M. T., & Taylor, C. B. (2012). Effects of an Internet-based intervention for subthreshold eating disorders: a randomized controlled trial. Behaviour research and therapy, 50(2), 93-99.";"web";"no";NA;"yes";"yes";"Jacobi_2012_msd_bdi_fu_24_self-report_cbt_wl_NA_NA";-0,0154552048087842;0,197078130083131;NA;NA;NA;NA;NA;NA
