;study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_type;instrument;rating;construct;time_weeks;time;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;mean_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;dich_paper;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;other_stat;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;rand_ratio;year;sg;ac;ba;itt;rob;full_ref;format;clinical_interview_diagnosis;clinical_diagnosis_interview;cbt;guided;.id;.g;.g_se;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2
155;Jones, 2008;cbt;wl;;;msd;cesd;self-report;depression;36,0;fu;12,35;11,57;52,0;11,16;11,05;53,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?;?;0;1;high;Jones, M., Luce, K. H., Osborne, M. I., Taylor, K., Cunning, D., Doyle, A. C., ... & Taylor, C. B. (2008). Randomized, controlled trial of an internet-facilitated intervention for reducing binge eating and overweight in adolescents. Pediatrics, 121(3), 453-462.;web;no;;yes;yes;Jones_2008_msd_cesd_fu_36_self-report_cbt_wl_NA_NA;-0,104444330946848;0,195323849741072;;;;;;
156;Linardon, 2022;cbt;wl;;;abstinence;zero OBEs;self-report;binge abstinence;4,0;post;;;;;;;;;;;;;;3,0;3,0;197,0;195,0;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_abstinence_zeroOBEs_post_4_self-report_cbt_wl_NA_NA;-0,005702309759312;0,453643398724754;-0,0102041701742417;0,810223623085924;3,0;3,0;197,0;195,0
157;Linardon, 2022;cbt;wl;;;msd;phq2;self-report;anxiety;4,0;post;2,98;1,62;92,0;3,56;1,71;153,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_phq2_post_4_self-report_cbt_wl_NA_NA;0,34481548367526;0,132852051858771;;;;;;
158;Linardon, 2022;cbt;wl;;;msd;edeq exer;self-report;compensatory behavior;4,0;post;2,63;8,29;95,0;3,52;6,12;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeqexer_post_4_self-report_cbt_wl_NA_NA;0,126363212558172;0,130422614025812;;;;;;
159;Linardon, 2022;cbt;wl;;;msd;gad2;self-report;depression;4,0;post;2,39;1,65;92,0;2,96;1,76;153,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_gad2_post_4_self-report_cbt_wl_NA_NA;0,330442379801017;0,132777021629721;;;;;;
160;Linardon, 2022;cbt;wl;;;msd;edeq r;self-report;restraint;4,0;post;2,55;1,46;95,0;3,2;1,63;166,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeqr_post_4_self-report_cbt_wl_NA_NA;0,412699653282883;0,129917656185156;;;;;;
161;Linardon, 2022;cbt;wl;;;msd;edeq ec;self-report;eating concerns;4,0;post;2,66;1,51;95,0;3,26;1,48;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeqec_post_4_self-report_cbt_wl_NA_NA;0,401077386204916;0,13153559062442;;;;;;
162;Linardon, 2022;cbt;wl;;;msd;edeq;self-report;ed psychopathology;4,0;post;3,15;1,27;95,0;3,84;1,16;153,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeq_post_4_self-report_cbt_wl_NA_NA;0,571710946939948;0,133136331942892;;;;;;
163;Linardon, 2022;cbt;wl;;;msd;phq4;self-report;psychiatric distress;4,0;post;5,36;3,0;92,0;6,51;3,07;153,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_phq4_post_4_self-report_cbt_wl_NA_NA;0,376628300438211;0,133029310897193;;;;;;
164;Linardon, 2022;cbt;wl;;;msd;cia;self-report;impairment;4,0;post;23,05;12,03;93,0;29,44;11,63;154,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_cia_post_4_self-report_cbt_wl_NA_NA;0,540700121512503;0,133572652467673;;;;;;
165;Linardon, 2022;cbt;wl;;;msd;edeq obe;self-report;obe frequency;4,0;post;11,51;10,43;96,0;17,06;14,9;156,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeqobe_post_4_self-report_cbt_wl_NA_NA;0,413598702820259;0,13102817744224;;;;;;
166;Linardon, 2022;cbt;wl;;;msd;edeq sc;self-report;shape concern;4,0;post;3,83;1,52;95,0;4,59;1,28;153,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeqsc_post_4_self-report_cbt_wl_NA_NA;0,550377741760615;0,132953846738868;;;;;;
167;Linardon, 2022;cbt;wl;;;msd;edeq wc;self-report;weight concern;4,0;post;3,56;1,44;95,0;4,23;1,22;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., Rosato, J., & Fuller-Tyszkiewicz, M. (2022). Efficacy of a transdiagnostic cognitive-behavioral intervention for eating disorder psychopathology delivered through a smartphone app: a randomized controlled trial. Psychological Medicine, 52(9), 1679-1690.;app;no;;yes;no;Linardon_2022_msd_edeqwc_post_4_self-report_cbt_wl_NA_NA;0,510779446311282;0,132298501738028;;;;;;
168;Linardon, 2023;cbt;wl;cbt (web);wl;abstinence;zero oBEs;self-report;binge abstinence;4,0;post;;;;;;;;;;;;;;4,0;1,0;199,0;202,0;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_abstinence_zerooBEs_post_4_self-report_cbt_wl_cbt(web)_wl;0,779543364955263;0,618890525514563;1,4012572337966;1,11356381915109;4,0;1,0;199,0;202,0
169;Linardon, 2023;cbt;wl;cbt (web);wl;msd;gad2;self-report;anxiety;4,0;post;3,06;1,72;92,0;3,5;1,96;155,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Linardon, J., Shatte, A., McClure, Z., & Fuller-Tyszkiewicz, M. (2023). A broad v. focused digital intervention for recurrent binge eating: a randomized controlled non-inferiority trial. Psychological Medicine, 53(10), 4580-4591.;web;no;;yes;no;Linardon_2023_msd_gad2_post_4_self-report_cbt_wl_cbt(web)_wl;0,23401649392324;0,132033020120319;;;;;;
